Symbol,Security,ESG Risk Score,Environment Risk Score,Social Risk Score,Governance Risk Score,Controversy Level,Data Date
TAP,Molson Coors Beverage Company,19,6,7.3,5.6,2,2021-05
MDLZ,Mondelez International,23,7.4,10.8,5.2,3,2021-05
MPWR,Monolithic Power Systems,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
MNST,Monster Beverage,29,12.4,10.7,5.4,2,2021-05
MCO,Moody's Corp,12,0,5.9,5.7,2,2021-05
MS,Morgan Stanley,23,0.8,12.5,9.4,3,2021-05
MOS,The Mosaic Company,35,14.5,11.9,8.4,2,2021-05
MSI,Motorola Solutions Inc.,14,2,7.2,5.3,3,2021-05
MSCI,MSCI Inc,23,0.1,16.7,5.8,1,2021-05
NDAQ,"Nasdaq, Inc.",15,1.5,6.7,6.7,2,2021-05
NTAP,NetApp,16,2.7,7.6,6.2,0,2021-05
NFLX,Netflix Inc.,17,0.2,6.8,10.4,2,2021-05
NWL,Newell Brands,16,6.4,5.3,4,2,2021-05
NEM,Newmont Corporation,24,8.1,11.1,4.9,3,2021-05
NWSA,News Corp (Class A),13,0.1,5.7,7.6,2,2021-05
NWS,News Corp (Class B),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
NEE,NextEra Energy,29,14.7,8.8,5.6,2,2021-05
NLSN,Nielsen Holdings,23,0.1,16.9,6.2,1,2021-05
NKE,"Nike, Inc.",15,2.3,5.8,7.3,3,2021-05
NI,NiSource Inc.,32,14.4,10.5,6.6,3,2021-05
NSC,Norfolk Southern Corp.,24,8.6,12.4,3.4,2,2021-05
NTRS,Northern Trust Corp.,25,2.2,12.6,10.3,2,2021-05
NOC,Northrop Grumman,30,8.7,17,4.8,3,2021-05
NLOK,NortonLifeLock,17,1.2,10.6,5.3,2,2021-05
NCLH,Norwegian Cruise Line Holdings,28,12.5,11,4.5,2,2021-05
NOV,NOV Inc.,33,12.5,11.6,8.7,1,2021-05
NRG,NRG Energy,32,17.3,8.9,5.6,2,2021-05
NUE,Nucor Corp.,36,10.9,16,9.6,2,2021-05
NVDA,Nvidia Corporation,13,2.3,4.2,6.8,2,2021-05
NVR,"NVR, Inc.",23,9,8.7,5.6,2,2021-05
NXPI,NXP Semiconductors,20,8.2,6.6,5.1,1,2021-05
ORLY,O'Reilly Automotive,13,0.1,8.4,4,1,2021-05
OXY,Occidental Petroleum,38,20,10.9,6.8,2,2021-05
ODFL,Old Dominion Freight Line,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
